Structure Name,Approximate latitude,Approximate Longitude,River,Basin,State,Country,Canal #,Full reservoir level (elevation in m),Height above river bed level,Minimum (dead) storage (10^6 m^3),Maximum (gross) storage (10^6 m^3),Submergence area (sq. km),Forested submergence area (sq. km),Population displaced,Year of displacement estimate,2020 population displacement estimate,Population scaling factor,Sources (non-NWDA),Notes
Sankosh Lift Dam,26.737,89.858,Sankosh,Brahmaputra,-,Bhutan,1,143,62.5,120,144,8.21,-,-,-,131,none - 2020 density used,THDC India LTD (2012) - displaced population estimated using CIESIN (2015) and submergence area.,
Sankosh Dam,26.777,89.92,Sankosh,Brahmaputra,-,Bhutan,1,345,215,1350,3919,46.26,-,-,-,869,none - 2020 density used,THDC India LTD (2012) -  displaced population estimated using CIESIN (2015) and submergence area.,
Manas Dam,26.803,90.954,Manas,Brahmaputra,-,Bhutan,1,-,250,2188,10938,80,-,-,-,1143,none - 2020 density used,Husain (2016) for notes - SANDRP (2007) for older Manas numbers. Live storage is assumed to be 80% of gross storage after IWM (2010). Displaced population estimated using CIESIN (2015) and submergence area.,"In the original Feasibility Report, the M-S-T-G link passed through the Manas Tiger Reserve, Buxa Tiger Reserve, and other forests. The Manas Dam site has now been slightly relocated and the FRL adjusted by 80 meters, so that these forests are no longer impacted - however, details of the new site are not yet available. These values are still the NWDA values from pre-2013."
Sapta Gandaki Dam,27.738,84.423,Kali Gandaki (Gandak),Ganga,-,Nepal,4,-,60,222,342,18,-,6000,1995 or earlier,9840,1.64,"Dam height/storage capacity/submergence area from Nepal Issues & Concerns (2009) Table 3.3, which is compiled from Water and Energy Commission Secretariat (WECS) of Nepal bulletins from the year 1995. Displaced people taken from World Bank (1997) Annex 1.","This site not to be confused with Sapta Kosi, Kali Gandaki, or Budhi Gandaki sites."
Chisapani Dam,28.718,81.273,Karnali (Ghaghara),Ganga,-,Nepal,5,415,270,12000,28200,339,72,43000,1987,60000,1.4,Singh (2013) estimate of displaced population allowed for growth. This estimate does approximately match submergence area * CIESEN density. This value was used for 2020 estimate..,
Re-regulating Dam,28.655,81.288,Karnali (Ghaghara),Ganga,-,Nepal,5,420,24,25,125,-,-,-,-,-,-,World Bank (1992),Only live storage is given - live storage assumed to be 80% of gross storage after IWM (2010).
Rupali Gad Re-Regulating Dam,29.276,80.304,Sarda,Ganga,Uttarakhand,India/Nepal,6,420,50,21,75,4,-,1144,2010 or earler,1316,1.15,2015 Pre-feasibility report - Everard & Kataria (2010),"50 is height above bed level, not deepest foundation."
Pancheswar High Dam,29.443,80.243,Sarda,Ganga,Uttarakhand,India/Nepal,6,680,266,5317,11355,116,20.31,21621,2010 or earlier,22918,1.06,2015 Pre-feasibility report - Everard & Kataria (2010),"Both the 2015 Pre-feasibility report and Everard & Kataria (2010) claim the dam height will be 315 m - this is height of dam from deepest foundation level, note that this is different from other values which are from bed level. The deepest foundation level elevation will be at 380 meters elevation. Local bed-level elevation is approximately 429 m at the Pancheswar site. Thus, the height of the dam from bed-level is approximately 695 (top of dam elevation) - 429 = 266 m."
Kadwan Dam,24.518,83.595,Son,Ganga,Bihar,India,9,173,45,1142,4169,132,56.23,29785,1995 or earlier,53613,1.8,Bihar State Hydroelectric Power Corporation Limited (2007),-
Patanpur Dam,24.068,77.183,Parbati,Ganga,Madhya Pradesh,India,9,419,20,46,156,29.98,0.69,4255,1991,9361,2.2,-,-
