Canal,NWDA name,Offtake river,Outfall river,Offtake volume (10^6 m^3 y^-1),Transmission loss (10^6 m^3 y^-1),En route irrigation (10^6 m^3 y^-1),Domestic & Industrial (10^6 m^3 y^-1),Outfall volume (10^6 m^3 y^-1),Source,Notes,Operating schedule notes
0,Jogighopa-Tista-Farakka (Alternative to 1),Brahmaputra,Ganga,0,0,0,0,0,Husain (2016); Sabha (2014),"As of 2016 the Joghigopa alternative is no longer under consideration (Sabha, 2014). This link is not included in analysis.",
1.1,Manas-Sankosh-Tista-Ganga,Manas,Canal,23445,228,1212,0,0,NWDA flow chart published by Gourdji (2005),"22560 million cubic meters are from the Manas,  and 885 million cubic meters are from the Aie, a tributary of the Manas. They are combined in offtake volume.",
1.2,Manas-Sankosh-Tista-Ganga,Sankosh,Canal,12439,0,0,0,0,NWDA flow chart published by Gourdji (2005),Outfall volume is 0 because canal continues to next segment. ,
1.3,Manas-Sankosh-Tista-Ganga,Raidak,Canal,2302,0,0,0,0,NWDA flow chart published by Gourdji (2005),Outfall volume is 0 because canal continues to next segment. ,
1.4,Manas-Sankosh-Tista-Ganga,Torsa,Canal,2422,416,1122,0,0,NWDA flow chart published by Gourdji (2005),Outfall volume is 0 because canal continues to next segment. ,
1.5,Manas-Sankosh-Tista-Ganga,Jaldhak,Ganga,2602,624,1693,0,37915,NWDA flow chart published by Gourdji (2005),Outfall volume is greater than offtake volume because most water is sourced from previous segments.,
2,Kosi-Mechi,Kosi,Mechi,5604,52,4644,23,883,NWDA flow chart published by Gourdji (2005),"New NWDA Feas. Rep. gives 1841 from Kosi, with 1718 for irrigation and 96 to transmission loss,  no outfall volume to Mechi. Higher values here require the Kosi High Dam.",
3,Kosi-Ghaghara,Kosi,Ghaghara,7482,143,7291,48,0,NWDA flow chart published by Gourdji (2005), ,
4,Gandak-Ganga,Gandak,Ganga,27837,1068,25867,0,902,Gourdji (2005); Srivastava et al. (2005),"Original values in Gourdji et al. (2005) are 32746 offtake, 700 D&I,  23592 irrigation,  and 1068 TL. However,  Srivastava et al. (2005) updates offtake volume and irrigation values. Transmission loss estimate of Gourdji (2005) remains here.",
5,Ghaghara-Yamuna,Ghaghara,Yamuna,32646,939,22647,1391,7669,NWDA flow chart published by Gourdji (2005),"30918 is from Ghaghara, and an additional 1728 is from the Mohana river,  a tributary of the Ghaghara. They are combined in offtake volume.",
6.1,Sarda-Yamuna,Sarda,Canal,11680,541,1758,0,9381,NWDA flow chart published by Gourdji (2005),Outfall volume continues to segment 2.,
6.2,Sarda-Yamuna,Upper Ganga,Yamuna,2248,0,0,0,11629,NWDA flow chart published by Gourdji (2005),Outfall volume > offtake volume because most water is sourced from segment 1. Delhi gov't docs say 17906 from the Sarda with 6190 to Delhi NCR - these numbers appear occasionally but could not be verified.,
7,Yamuna-Rajasthan,Yamuna,Canal,11629,720,1950,3117,5842,NWDA flow chart published by Gourdji (2005),"Domestic and industrial consists of 3054 to Delhi NCR, plus 62 unspecified. ",
8,Rajasthan-Sabarmati,Canal,Sabarmati,5842,538,5022,282,0,NWDA flow chat published by Gourdji (2005), ,
9.1,Parbati - Kalisindh - Chambal,Parbati,Canal,644,0,644,0,0,NWDA Feasibility Report,"Transmission losses not given, full en route utilization is proposed. Offtake volumes are assumed to be prorpotional to environmental flows,  with a total of 1360 from the three dams given in the Feas. Rep.",
9.2,Parbati - Kalisindh - Chambal,Newaj,Canal,302,0,302,0,0,NWDA Feasibility Report,"Transmission losses not given, full en route utilization is proposed. Offtake volumes are assumed to be prorpotional to environmental flows,  with a total of 1360 from the three dams given in the Feas. Rep.",
